id,ip_type,title,inventor,summary,tech_type,url,contact,organization
"UMA 05-10","Licensable Technology","Patchy Surfaces for Selective Adhesion, Sensing and Separations","Maria Santore, Ph. D.","This invention presents a new method of selective particle separation, sensing, and adhesion control, based on particle size, characteristic curvature, and surface chemistry, including lengthscales of heterogeneities in surface chemistry.  The invention describes the preparation and use of detection / adhesion surfaces that contain nanoscale domains which are fundamentally adhesive while the rest of the surface is fundamentally repulsive to some portions of the surface of some external objects.  These surface features can be recognized by external objects and molecules, the surface pattern being the sensing element. Patterns can adhere single molecules or objects up to at least one micron, and being a completely artificial construct, achieve selectivity without the use of fragile and costly biological molecules, if applying this method to analysis of biological materials. "," Research Tools  |   Plastics and Polymers Engineering  |   Research Tools  |   Nanotechnology/NEMS","http://www.umass.edu/research/nanopatterned-surfaces-highly-selective-adhesion-sensing-and-separation","Office of Commercial Ventures and Intellectual Property Phone: 413-545-3606   E-Mail: cvip@research.umass.edu","University of Massachusetts at  Amherst"
"UMA 06-06","Licensable Technology"," Snapping Surfaces for Sensors and Adhesion Control","Alfred J. Crosby","This invention involves creating shape transition at responsive interfaces or surfaces by employing simple features such as shells, plates or columns, that are integrated into a material's surface or interface through simple processes of molding or self-assembly.  Upon application of a given stimulus (e.g. weight, light, chemical, thermal) the structures will spontaneously transform their shape due to the onset of elastic instability.  This instability is a ""snap-through"" event which induces the shape transition of the material surface."," Materials and Materials Diagnostics  |   Chemical Methods/Libraries and Chemistry and Materials  |   Materials and Materials Diagnostics  |   Chemical Methods/Libraries and Chemistry and Materials  |   Materials and Materials Diagnostics","http://www.umass.edu/research/snapping-surfaces-sensors-and-adhesion-control","Office of Commercial Ventures and Intellectual Property Phone: 413-545-3606   E-Mail: cvip@research.umass.edu","University of Massachusetts at  Amherst"
"UMA 10-26","Licensable Technology","A Simple, Robust Route for Generating Unidirectionally Aligned, Nanoscopic Line Patterns of Block Copolymers over Arbitrarily Large Areas","Thomas P. Russell, Ph. D.","Dr. Todd Emrick at the University of Massachusetts Amherst has developed a new class of synthetic polymers capable of delivering water-insoluble cancer therapeutics into cells. These polymers consist of an aliphatic polyester backbone with pendent zwitterionic phosphorylcholine groups. The novel graft polymers provide facile conjugation through “click” chemistry, and can simultaneously impart good drug solubility, high loading levels, structural stability, and targeting on a single polymer chain. These characteristics allow preparation of polymer-drug conjugates that contain multiple drugs surrounded by other desired groups (i.e. for targeting and solubilization) in well-defined ratios."," Nanotechnology/NEMS  |   Biomaterials and Diagnostics/Biomarkers  |   Research Tools  |   Biomaterials and Diagnostics/Biomarkers","http://www.umass.edu/research/available-technologies/simple-robust-route-generating-unidirectionally-aligned-nanoscopic-line-patte","Office of Commercial Ventures and Intellectual Property Phone: 413-545-3606   E-Mail: cvip@research.umass.edu","University of Massachusetts at  Amherst"
"UMA 98-04","Licensable Technology","A New Vaccine for Protection of Children and Adults Against Schistosomiasis","Lloyd H. Semprevivo","A new vaccine has been developed that has the potential to protect children and adults from Schistosomiasis. Now demonstrated in laboratory mice to show 100% protection against a virulent challenge by 100 parasites."," Biomaterials and Diagnostics/Biomarkers  |   Therapeutics - Drugs and Therapeutics - Methods  |   Biomaterials and Diagnostics/Biomarkers  |   Therapeutics - Drugs and Therapeutics - Methods","http://www.umass.edu/research/new-vaccine-protection-children-and-adults-against-schistosomiasis","Office of Commercial Ventures and Intellectual Property Phone: 413-545-3606   E-Mail: cvip@research.umass.edu","University of Massachusetts at  Amherst"
"UMA 02-12","Licensable Technology","[UMA 02-12] A Rapid Interfacial Route to Produce Water Dispersible Nanoparticles","
																Summary:","This invention describes a simple direct route by which water-dispersed nano-particles can be prepared.  Water-oil dispersions with nanoparticles, the elemental composition of which allows the attachment of oil-soluble ligands, are shown to undergo a process at the oil-water interface that imparts a water solubility to the particles.  The nanoparticles are photoluminescent in both the  oil-soluble and water soluble states. "," Biomaterials and Diagnostics/Biomarkers  |   Biomaterials and Diagnostics/Biomarkers  |   Nanotechnology/NEMS","http://www.umass.edu/research/rapid-interfacial-route-produce-water-dispersible-nanoparticles","Office of Commercial Ventures and Intellectual Property Phone: 413-545-3606   E-Mail: cvip@research.umass.edu","University of Massachusetts at  Amherst"
"UMA 05-01","Licensable Technology","[UMA 05-01] Amphiphilic Monomers and Polymers Derived Therefrom","
																Summary:","
The present invention demonstrates that incorporation of amphiphilic functionalities within the same monomer unit affords assemblies that are micelle-like or inverse micelle-like in solutions. The amphiphilic polymers exhibit very low critical micelle concentration (CMC), the assembly adapts itself to its environment (micelle-like in water, inverted micelle-like in apolar solvents), multiple functionalities could be directed in the interior of these nanoscale assemblies, and the invention offers the ability to compact incompatible functionalities by creating amphiphilicity using a third functionality."," Chemical Methods/Libraries and Chemistry and Materials  |   Chemistry and Chemical Methods/Libraries  |   Nanotechnology/NEMS  |   Chemistry and Chemical Methods/Libraries  |   Nanotechnology/NEMS  |   Chemistry and Chemical Methods/Libraries","http://www.umass.edu/research/available-technologies/amphiphilic-monomers-and-polymers-derived-therefrom-0","Office of Commercial Ventures and Intellectual Property Phone: 413-545-3606   E-Mail: cvip@research.umass.edu","University of Massachusetts at  Amherst"
"INV-1215","Licensable Technology","2 Cyclo Alkyl Resorcinol Cannabinergic Analogs","Marsha Rebecca D'Souza, Alexandros Makriyannis, Ganeshsingh Thakur, Shama Bajaj, Spyridon Nikas","The invented compounds, when administered in therapeutically effective amounts, have high potential to bind to and modulate the CBllCB2 cannabinoid receptors and thereby provide a physiological effect in an individual or animal that is useful to treat conditions ranging from: pain; central pain; peripheral pain; neuropathic pain; neuropathy; inflammatory pain; neurodegenerative diseases including multiple sclerosis, Parkinson's disease, Huntington's chorea, Alzheimer's disease, and others."," Therapeutics - Drugs","http://neu.technologypublisher.com/techcase/INV-1215","Mark Saulich, Senior Commercialization Manager, m.saulich@neu.edu, 617-373-4009","Northeastern University"
"574","Licensable Technology","2, 4-Diamino-6-(bridged diaryl) Aminomethylpteridines and Related Drugs Against Toxoplasmosis and Other Opportunistic Infections","Rosowsky, A","None"," Therapeutics - Methods","http://www.dfci.harvard.edu/res/technology/available.asp?case_number=574&keywords=&category_id=1&category_name=Therapeutics","Ojas Mehta, Phone (617) 632-5807, Fax (617) 632-4012, Email Ojas_Mehta@dfci.harvard.edu","Dana-Farber Cancer Institute"
"21650","Licensable Technology","2-Aminoadipic acid biomarker and Therapy for Diabetes and glucose-related metabolic disorder risk","Gerszten, Robert E; Wang, Thomas J","Technology: 
The inventors have identified a metabolic biomarker, 2-aminoadipic acid (2-AAA), which is useful in determining the risk of developing glucose-related metabolic disorders (GRMD)such as diabetes; as well as a therapeutic agent to treat GRMD.

GRMD refers to any disease characterized by a defect in the regulation of glucose homeostasis. Concentrations of 2-AAA in clinical samples obtained from subjects with GRMD, are predictive of development of GRMD in normoglycemic individuals. 
Individuals with high plasma 2-AAA levels had up to a 4-fold risk of future diabetes. The circulating 2-AAA levels were elevated up to 12 years prior to the onset of diabetes. 
Furthermore, studies show that administration of 2-AAA to mice confers a significant decrease in fasting glucose levels.

Applications:
1.  Diagnostic biomarker ? to differentiate normal and diabetic individuals
2.  Therapeutic agent ? to treat diabetes and other GRMDs

Advantages:
1.  Strength of the human data: The invention is based on analysis of two well-characterized cohorts with long follow-up periods. Statistical analysis with adjustment to known factors associated with diabetes was done, showing that 2-AAA is a strong predictor of diabetes.
2.  Convenience of use: 
Measurement of 2-AAA levels in the clinical sample/s can be conducted using a kit, which comprises of all the required reagents for the 2-AAA measurements and software to analyze the results and further facilitate the use of this technology.
3.  Minimally-invasive technology: 2-AAA is measured in an easily accessible body fluid (plasma or blood) and can be done as an outpatient procedure.
4.  Therapeutic potential: 2-AAA can additionally serve as therapeutic agent, to reduce systemic glucose levels in a subject. 

Publications:
-    2-Aminoadipic acid is a biomarker for diabetes risk. Wang TJ et al., J Clin Invest. 2013 Oct 1;123(10):4309-17. Epub 2013 Sep 16.
-	Walford GA, Gerszten RE, et al., ""Branched chain and aromatic amino acids change acutely following two medical therapies for type 2 diabetes mellitus."" Metabolism ; 2013 Aug
-	Roberts LD, Gerszten RE., ""Toward new biomarkers of cardiometabolic diseases."" Cell Metab.; 2013 Jul 2
-	Magnusson M, Gerszten RE, et al., ""A diabetes-predictive amino acid score and future cardiovascular disease.""  Eur Heart J., 2013 Jul
-	McCormack SE, Gerszten RE, et al., ""Circulating branched-chain amino acid concentrations are associated with obesity and future insulin resistance in children and adolescents."" Pediatr Obes. 2013, Feb

Patent status:
Filed"," Therapeutic","http://www.partners.org/techtransfer/availabletechnologies/default.asp","Rekha Paleyanda, rpaleyanda@partners.org, (617) 954-9351","Massachusetts General Hospital"
"213","Licensable Technology","2-Aza-2-Desamino Analogues of 5,8 Dideazafolic Acid - PT594 Folic Acid Analogue","Rosowsky, A","Methotrexate, an antifolate drug, has been used for many years in the treatment of cancer, but its use has often been by limited resistance of tumor cells to its effects.  The potential therapeutic significance of folic acid analogues targeted against thymidylate synthase (TS) as opposed to DHFR led to the synthesis of quinazoline analogues.  However, their clinical usefulness was hampered by hepatic and renal toxicities.  The toxicity problem spurred the development of a second-generation family of folate-based TS inhibitors, which were weaker binders of purified TS in vitro, but also resulted in an increased inhibitory potency against intact cells in culture.

A researcher has synthesized folate analogues in which C2 and the associated H or methyl substituent of the standard desamino-5,8-dideazafolic acid compound have been replaced by nitrogen and a lone electron pair.  These changes were made on the theory that (i) removal of H or Me might enable the molecule to extend more deeply into the active site pocket of the enzyme, and (ii) N2 might interact with active site residues by H-bonding, either directly or via a molecule of ordered water.  Both of these properties were expected to be favorable for TS binding.

Applications/Advantages: The compounds of the invention are potent inhibitors of DNA synthesis in mammalian cells. By inhibiting the conversion by the enzyme TS of dUMP into dTMP, a precursor necessary for DNA synthesis in treated cells is retarded. Thus, the compound is useful for the treatment of cancer or psoriasis, conditions characterized by overproliferation of cells."," Therapeutics - Drugs","http://www.dfci.harvard.edu/res/technology/available.asp?case_number=213&keywords=&category_id=1&category_name=Therapeutics","Ojas Mehta, Phone (617) 632-5807, Fax (617) 632-4012, Email Ojas_Mehta@dfci.harvard.edu","Dana-Farber Cancer Institute"
"9971L","Licensable Technology","2-D processing of speech","Quatieri, Jr., Thomas  F","Acoustic signals are analyzed by two-dimensional (2-D) processing of the one-dimensional (1-D) speech signal in the time-frequency plane. The short-space 2-D Fourier transform of a frequency-related representation (e.g., spectrogram) of the signal is obtained. The 2-D transformation maps harmonically-related signal components to a concentrated entity in the new 2-D plane (compressed frequency-related representation). The series of operations to produce the compressed frequency-related representation is referred to as the ""grating compression transform"" (GCT), consistent with sine-wave grating patterns in the frequency-related representation reduced to smeared impulses. The GCT provides for speech pitch estimation. The operations may, for example, determine pitch estimates of voiced speech or provide noise filtering or speaker separation in a multiple speaker acoustic signal."," ","http://www.ipvisioninc.com/findurl.php?uid=mitDossier:9971L","Jose Estabil","Massachusetts Institute of Technology"
"3718","Licensable Technology","3D cell culture substrate that enables live-cell imaging","Whitesides, George M.","MARKETS ADDRESSED:The Whitesides laboratory has designed a new type of paper, which is synthesized from fibers composed of barium alginate.  Barium alginate fibers have an index of refraction very close to that of the hydrogel holding the cells, which eliminates light refraction and enables visualization of the cells via microscopy. Barium alginate paper is very simple, rapid and inexpensive to prepare and requires no specialized laboratory equipment. The simplicity, rapidity and cost-effectiveness of this fabrication process means that barium alginate paper can be used to quickly and conveniently set up live cell cultures. Furthermore, due to the desired optical properties of this paper, these cells can then be imaged in real time. For example, the Whitesides laboratory was able to image GFP-expressing cells via fluorescent microscopy throughout the full thickness of one sheet of barium alginate paper.  Other cellular bioassays and techniques, such as paper-based transmittance colorimetric assays (POCKET), will also benefit greatly from the optically transparent nature of this barium alginate paper.INNOVATIONS & ADVANTAGES:Dr. George Whitesides’ lab recently developed a novel paper scaffold which can be impregnated with a hydrogel containing cells and then layered, thereby generating a 3D cell culture with easily-controlled spatial distributions, densities, and other desired properties. Layers of sheets containing cells can be stacked to mimic various tissues, and destacked for cellular analyses and assays. This 3D cell culture platform is simple to make in the laboratory, versatile, easy to manipulate, and does not require specific expertise, or uncommon instrumentation. For more information, click  here.It would also be desirable to be able to image cells in-situ once they have been cultured, without having to extract them from their 3D matrix.  Ordinary paper, formed from cellulose fibers, has a different index of refraction than the medium containing the cells, and therefore scatters light, which impedes microscopic imaging.  The Whitesides laboratory has developed a way of overcoming this obstacle, and has combined the simplicity and versatility of paper-based 3D cell cultures with the desired optical properties that allow live imaging of cells."," Biomaterials","http://otd.harvard.edu/technologies/tech.php?case=3718","Mick Sawka, (617) 496-3830","Harvard University"
"UMMS 03-11","Licensable Technology","5' Phosphorylated, Single-Stranded siRNAs That Trigger RNA Interference","Phillip D. Zamore, Ph.D. et al.","This invention demonstrates that single stranded siRNAs can be used in RNAi in vitro or in vivo provided they are 5' phosphorylated or phosphorylatable, which facilitates entry into the RNAi pathway."," Therapeutics - Drugs  |   Therapeutics - Methods  |   Therapeutics - Drugs","http://www.umassmed.edu/Content.aspx?id=51198","Lisa.Decker@umassmed.edu","UMass Medical School"
"03563","Licensable Technology","A Biomarker for Pluripotent Stem Cells","Zhang, Li-Feng ; Lee, Jeannie T.","The Technology:
A non-coding RNA region (ncRNA) involved in the regulation of x-chromosome silencing is a novel biomarker for pluripotent stem cells.  The expression of the number and type of these ncRNA is tightly associated with the differentiated state of stem cells, and with overall cell health.  Using  RNA Fluorescent In-Situ Hybridization (FISH),  pluripotent stem cells and/or stem cell cultures that have not yet entered the differentiation pathway can be easily visualized and identified.  Preliminary evidence suggests that the method may also be useful in identifying human cancer stem cells. 
 
Application:
The method can visually assess the differentiation status of all mammalian cells enabling selection of cells or cultures at the desired state of differentiation.  Suitable for use in agricultural or laboratory research, or in clinical settings where selection of undifferentiated stem cells is crucial.  

Advantages:
Other markers used to identify pluripotency (OCT4, SSEA3/4, etc.) label cells that are not epigenetically equivalent and thus selects cells that may have already entered the terminal differentiation pathway.  The current method uses a marker that identifies only those cells that are pluripotent and undifferentiated and thus suitable for further research, commercial, or clinical use."," Research Tool/Screening Tool  |   Diagnostic","http://www.partners.org/techtransfer/availabletechnologies/default.asp","Cynthia Hernit-Grant, chernit-grant@partners.org, 617-954-9392","Massachusetts General Hospital"
"2010-003","Licensable Technology","A Bisphenol A-free Replacement for Conventional Epoxy Resins","Daniel Schmidt","UMass Lowell Professor Dan Schmidt has invented a new type of BPA-free epoxy which retains the favorable properties similar to those of bisphenol-based epoxies without need of any phenolic moieties whatsoever.  The new epoxy resin replaces the BPA monomer with CBDO (2,2,4,4-tetramethyl-1,3-cyclobutanediol, also known as TMCD) to form an epoxy."," Epoxy Resin  |   Plastic  |   Epoxy Resin","http://uml.flintbox.com/public/project/5532/","Rajnish Kaushik, Ph.D., Assistant Director, OTC, Umass Lowell, Ph:978-934-4708/978-935-6592, Email: Rajnish_Kaushik@uml.edu","University of Massachusetts Lowell"
"4382","Licensable Technology","A bulk nanomachining method for suspended nanobeam and other free-standing structures","Loncar, Marko","MARKETS ADDRESSED:A scalable nanomachining process to fabricate suspended, free-standing structures, from a bulk material of single-crystal diamond.  Intended to fabricate a variety of photonic, mechanical and optomechanical elements, such as beams, waveguides, ring and disk resonators, membranes and high Q factor electromagnetic cavities.Suspended structures are pervasive in a variety of photonic, mechanical, and opto-mechanical elements such as beams, waveguides, ring and disk resonators, membranes, and high quality factor (Q-factor) electromagnetic cavities.  They are crucial for applications that demand mechanical degrees of freedom or optical isolation from the environment, a key requirement in the fabrication of both optical and mechanical resonators. Current fabrication techniques for suspended structures are limited to specific material systems, leading to a search for alternate nanomachining procedures.INNOVATIONS & ADVANTAGES:This technology is a bulk nanomachining methodology for fabricating suspended sub-micron and nanoscale nanobeam photonic and mechanical elements. It is based on standard planar fabrication processes (i.e. optical or electron beam lithography and plasma etching), but is able to fabricate suspended nanobeam structures from a starting bulk material (i.e. a single-crystal or thick film). In essence, the bulk nanomachining methodology “carves out” suspended nanobeam elements from a given material. The process is fundamentally different from conventional surface nanomachining of free-standing structures in that there is no thin film heterolayer structure, and an isotropic wet chemical etch is not used to sacrificially remove any sub-surface layer. Instead, the proposed process makes exclusive use of anisotropic plasma etching to etch the bulk material from two slanting opposite angles. The result is a bulk nanomachining process which yields suspended, triangular cross-section nanobeam photonic elements.  The key breakthrough of this process is the ability to create suspended structures from a single crystal diamond bulk material, for optical resonators and mechanical resonators.  It can also be used to carve out other bulk materials."," ","http://otd.harvard.edu/technologies/tech.php?case=4382","Sam Liss, (617) 495-4371","Harvard University"
"CCMC   2364","Licensable Technology","A cell-free, silk-based scaffold for regenerating bladder tissue","Mauney, Joshua","Drs. Mauney and Estrada have developed a method of engineering a synthetic biomaterial to support the regeneration of damaged tissues, particularly for use in the bladder. Inspired by the stem-cell scaffold work of Dr. Atala, formerly in Boston Children’s Urology Department, Dr. Mauney and Estrada sought an improved technique for treating bladders damaged by spina bifida, spinal cord injuries, multiple sclerosis, Parkinson’s and other diseases. ||

Utilizing a novel process for refining silk into a versatile biomaterial, the team has created a bi-layer silk scaffold, comprised of a foam layer that allows for ingrowth of host tissues and a non-porous layer that seals the wound site. The multi-layer scaffold technology is unique and provides the benefits of sealing fluid contents present in hollow organs at the time of surgical integration (non-porous barrier layer) while providing a porous layer for host tissue integration. ||

The material is capable of being fabricated into foams, weaves, meshes or scaffolds, all of which have the capability of being elastic, porous, or stiff for maximum effectiveness and a wide variety of use cases. Importantly, the material is ascellular, which means it can be used “off the shelf” and avoids the barriers inherent with cell-seeded constructs. The material is also inert and biodegradable, which will encourage the growth of new tissue and could eliminate the need for additional surgeries. ||

Preliminary results in a porcine model of augmentation cytoplasty have demonstrated remarkable support of regeneration of innervated, vascularized smooth muscle and urothelial tissues with structural, mechanical, and functional properties comparable to native tissue. This invention has the potential to replace the current technique for bladder augmentation, which includes a complex, open procedure in which a portion of the intestine or stomach is attached to the bladder as a patch."," Materials  |   Instrumentation  |   Materials","http://www.childrensinnovations.org/SearchDetails.aspx?id=2364","Khunkhun, Rajinder, rajinder.khunkhun@childrens.harvard.edu","Children's Hospital Boston"
"BC2008.007/sco","Licensable Technology","A Chemical Method for Growing Single Chirality, Uniform Diameter Carbon Nanotubes","Scott, Lawrence; Fort, Eric","This method offers a controlled synthetic approach resulting in single-chirality, uniform-diameter carbon nanotubes. The synthesis relies on using a template capable of iterative growth by cycloaddition chemistry on the rim of the growing nanotube. The ability to control the diameter and chirality of the growing nanotube allows for the synthesis of nanotubes with varying semi-conductor and metallic conductor properties."," Nanotechnology/NEMS  |   Nanotechnology/NEMS  |   Nanotechnology/NEMS","https://htmldbprod.bc.edu/pls/htmldb/ottl.osddoc?id=8870&p=3","Jason Wen, jason.wen@bc.edu,617-552-1682","Boston College"
"11179","Licensable Technology","A chimeric IL-10 Immunoglubulin fusion protein to treat Adenocarcinomas","Erdman, Susan; Fox, James G; Horwitz, Bruce ; Davidson, Anne","The Technology:
The inventors believe that  a chimeric IL-10 molecule with an extended serum half-life may be effective in treating adenocarcinomas where tumors are characterized by the over-expression of a particular oncogene, Pim 1. The method is expected to be effective against such adenocarcinomas regardless of their tissue of origin and regardless of whether there has been a prior inflammatory condition. Research results suggest that IL-10 is probably exerting its therapeutic effects by suppressing IL-6. This suggests that other inhibitors of IL-6 should also be effective against adenocarcinomas over-expressing Pim-1, especially in cases where IL6 is also over-expressed.

In vitro data generated by the inventors suggests that a chimeric protein in which IL-10 was fused to the constant region of murine IgG2a has the biological properties of IL-10 but has an extended serum half-life (10 days). In an immunodeficient mouse model infected with H. hepaticus, a lower bowel pathogen that induces inflammation and cancer, 92% of mice dosed with control Ig for 1 week were found to have cancer, while none of the mice treated with IL-10-Ig over the course of one week were found to have cancer. In another mouse model of GI cancer not associated with inflammation, preliminary data showed that untreated mice had an average of 63 tumors while treated mice had an average of 18 tumors. Based on these findings, the inventors believe that IL-10-Ig or a similar reagent could prove useful in the treatment of GI cancer regardless of its association with inflammation. Furthermore, they also believe that IL-10-Ig or a similar reagent could prove useful in treatment of breast and prostate cancer.

Application:
Use of IL-10-Ig or a similar reagent for the treatment of adenocarcinomas.

Advantages:
An alternative treatment option for adenocarcinomas."," Therapeutic","http://www.partners.org/techtransfer/availabletechnologies/default.asp","Amita Joshi, aajoshi@partners.org, 617-954-9526","Brigham and Women's Hospital"
